year,cargo,volume_mln_t,revenue_bln_rub,revenue_share_pct,revenue_yoy_pct
2026,Остальные грузы,286.9038870131976,279.03139961918845,31.641801034865264,
2026,Уголь каменный,254.43395435749795,194.53884779350687,22.060454571904657,
2026,Нефтяные грузы,176.72452781505112,172.80117260774585,19.595430226518843,
2026,Черные металлы,46.44303924217492,77.93725309409834,8.837984036825258,
2026,Удобрения,59.18184510807697,63.503966096646344,7.201267896363057,
2026,Минерально-строит.,96.66434444861726,53.83856960791411,6.105224393599797,
2026,Лесные грузы,19.98875995434609,21.147691609859788,2.398120968389597,
2026,nan,13.772602200000001,12.298933764600003,1.3946832351182383,
2026,Кокс каменноугольный,8.604123838036662,6.746405051011492,0.7650336364152899,
2026,Руды всякие,0.0,0.0,0.0,
2027,Остальные грузы,270.62209555500215,263.5268375524289,31.13126129666916,-5.556565349964049
2027,Уголь каменный,245.2704117043235,187.53245183524405,22.15380343767267,-3.601540791328095
2027,Нефтяные грузы,169.956314953079,166.18321677859464,19.631750575028903,-3.8298095604789695
2027,Черные металлы,44.59540780019746,74.83669547195105,8.840696237828368,-3.9782741873180982
2027,Удобрения,59.35861490884558,63.69364560755753,7.524332408655816,0.29868923560225635
2027,Минерально-строит.,91.55037136749172,50.9902701933608,6.023642372521027,-5.290444072523459
2027,Лесные грузы,19.1914108232471,20.304112840172035,2.3985892598081047,-3.988987475561856
2027,nan,14.565602199999999,13.0070827646,1.5365679488777075,5.757808063315717
2027,Кокс каменноугольный,8.198002893912195,6.427969793646803,0.7593564629382499,-4.720073208722408
2027,Руды всякие,0.0,0.0,0.0,
2028,Остальные грузы,256.3536376011432,249.85188500153538,30.896559693020397,-5.189206791195556
2028,Уголь каменный,234.11900680145175,179.0061469772242,22.13581100444931,-4.546575685743493
2028,Нефтяные грузы,161.9136313935896,158.31908401119935,19.57765909857463,-4.732206368271619
2028,Черные металлы,42.39847566480511,71.14996741408649,8.798369543428782,-4.926364044556653
2028,Удобрения,58.658908290996195,62.94283857786182,7.78348007803545,-1.1787785461704225
2028,Минерально-строит.,87.27762626151608,48.610504560881665,6.011150789852521,-4.667097513809592
2028,Лесные грузы,18.229528650272982,19.28646153986435,2.384954230903238,-5.012045137447441
2028,nan,14.9256022,13.3285627646,1.6482034349114567,2.4715764927316197
2028,Кокс каменноугольный,7.87758858917257,6.176736231159516,0.7638121268242146,-3.9084434207453556
2028,Руды всякие,0.0,0.0,0.0,
2029,Остальные грузы,243.3585482771026,237.18638279233102,30.923754295710452,-5.069204184361675
2029,Уголь каменный,221.0430192707027,169.00831648161363,22.034872286007463,-5.585188366119431
2029,Нефтяные грузы,152.59498931610912,149.20731951529578,19.45326891659042,-5.755316582844183
2029,Черные металлы,39.85742462479976,66.88576461294687,8.720395017712503,-5.993260371185183
2029,Удобрения,57.30087296181628,61.48562430303146,8.016338527874314,-2.3151391131300048
2029,Минерально-строит.,82.33472531544456,45.857486184063795,5.978781828367159,-5.6634227554044125
2029,Лесные грузы,17.121552828109646,18.11424620225425,2.3616891164488405,-6.077918104299118
2029,nan,15.0256022,13.4178627646,1.7493866486818765,0.6699897173998215
2029,Кокс каменноугольный,7.44919437300893,5.8408367301581485,0.7615133626069679,-5.43813898522767
2029,Руды всякие,0.0,0.0,0.0,
2030,Остальные грузы,230.9352682416085,225.0781873954723,31.161756785647228,-5.104928560532107
2030,Уголь каменный,206.41995951503577,157.82760279398227,21.851008439508814,-6.615481368248355
2030,Нефтяные грузы,142.5083681754474,139.34462539860522,19.292066353942058,-6.610060517627292
2030,Черные металлы,37.09067685269856,62.24281434784089,8.617429635478878,-6.9416120036508655
2030,Удобрения,55.24591916112257,59.27482614418568,8.206515865400977,-3.5956342379315775
2030,Минерально-строит.,76.8205515613785,42.786289361886766,5.92370126258739,-6.69726380083241
2030,Лесные грузы,15.89928649436173,16.82111388437903,2.3288594323344785,-7.138758651266941
2030,nan,15.055602200000001,13.4446527646,1.8613931645975776,0.19965921898292827
2030,Кокс каменноугольный,6.975830649479775,5.469677100718016,0.7572690605026063,-6.354562652363038
2030,Руды всякие,0.0,0.0,0.0,
2031,Остальные грузы,218.40943687013873,212.97415493994538,31.559225938398118,-5.377701231554521
2031,Уголь каменный,190.5409216939117,145.54195431370493,21.56689585643583,-7.784220416953436
2031,Нефтяные грузы,131.29817716820514,128.3833051158001,19.02426955989253,-7.866338763658421
2031,Черные металлы,34.12819313106992,57.27139457499259,8.486667697819968,-7.987138475239508
2031,Удобрения,52.59059434274489,56.431348398233006,8.362186832531318,-4.79710853817763
2031,Минерально-строит.,70.77012481643283,39.41641887527217,5.840857400364026,-7.876052204742978
2031,Лесные грузы,14.665300154196366,15.515582043874703,2.2991510844424727,-7.761268661980303
2031,nan,15.8456022,14.1501227646,2.0968127400717016,5.247216215635664
