year,forecast_kt,forecast_mln_t
2026,1086032.625745501,1086.0326257455008
2027,1042614.9300485373,1042.6149300485374
2028,996469.6733026846,996.4696733026846
2029,945257.3610582546,945.2573610582546
2030,889526.2448633538,889.5262448633538
2031,829145.3057937551,829.1453057937551
2032,764143.3447921884,764.1433447921884
2033,694511.5979152804,694.5115979152804
2034,636572.007728497,636.572007728497
2035,623427.4833626065,623.4274833626065
2036,614009.8791566994,614.0098791566994
