ds,cargo,forecast_kt
2034-12-01,Кокс каменноугольный,411.09155575209166
2035-01-01,Кокс каменноугольный,389.83177320632444
2035-02-01,Кокс каменноугольный,371.94028593390533
2035-03-01,Кокс каменноугольный,422.1999923727719
2035-04-01,Кокс каменноугольный,397.6610739919441
2035-05-01,Кокс каменноугольный,411.6046440370013
2035-06-01,Кокс каменноугольный,387.43340907071007
2035-07-01,Кокс каменноугольный,410.8674942871564
2035-08-01,Кокс каменноугольный,398.21100258304403
2035-09-01,Кокс каменноугольный,387.6409839556633
2035-10-01,Кокс каменноугольный,389.00709437100113
2035-11-01,Кокс каменноугольный,392.37544157323
2035-12-01,Кокс каменноугольный,400.38466560530435
2036-01-01,Кокс каменноугольный,382.7109999012138
2036-02-01,Кокс каменноугольный,364.32017936548664
2036-03-01,Кокс каменноугольный,412.59650966113423
2036-04-01,Кокс каменноугольный,390.75786210122556
2036-05-01,Кокс каменноугольный,402.03112159813827
2036-06-01,Кокс каменноугольный,381.7827158481642
2036-07-01,Кокс каменноугольный,402.36425350249067
2036-08-01,Кокс каменноугольный,396.1507457439771
2036-09-01,Кокс каменноугольный,381.8377332331374
2036-10-01,Кокс каменноугольный,385.88215675941564
2036-11-01,Кокс каменноугольный,387.374619829362
2036-12-01,Кокс каменноугольный,395.46877203886515
2026-01-01,Лесные грузы,1546.9854316141389
2026-02-01,Лесные грузы,1639.5537650628191
2026-03-01,Лесные грузы,1964.1088177879033
2026-04-01,Лесные грузы,1897.0473305222308
2026-05-01,Лесные грузы,1742.8066495842838
2026-06-01,Лесные грузы,1648.940375528007
2026-07-01,Лесные грузы,1654.5697729012995
2026-08-01,Лесные грузы,1630.629724421075
2026-09-01,Лесные грузы,1568.7301312762527
2026-10-01,Лесные грузы,1563.3423477748825
2026-11-01,Лесные грузы,1470.6298031129975
2026-12-01,Лесные грузы,1661.4158047601998
2027-01-01,Лесные грузы,1503.1716092258646
2027-02-01,Лесные грузы,1571.4876306428275
2027-03-01,Лесные грузы,1920.7825615732093
2027-04-01,Лесные грузы,1803.8605223928848
2027-05-01,Лесные грузы,1658.7278893933253
2027-06-01,Лесные грузы,1570.5092635252447
2027-07-01,Лесные грузы,1568.5885869470937
2027-08-01,Лесные грузы,1566.1941509278115
2027-09-01,Лесные грузы,1512.1998574672602
2027-10-01,Лесные грузы,1520.304361284728
2027-11-01,Лесные грузы,1409.440506992844
2027-12-01,Лесные грузы,1586.1438828740083
2028-01-01,Лесные грузы,1468.8564316158684
2028-02-01,Лесные грузы,1501.2123515376102
2028-03-01,Лесные грузы,1825.484317872857
2028-04-01,Лесные грузы,1698.0407723308065
2028-05-01,Лесные грузы,1590.9104610322513
2028-06-01,Лесные грузы,1499.2620728658856
2028-07-01,Лесные грузы,1501.2937475784781
2028-08-01,Лесные грузы,1480.2872756879256
2028-09-01,Лесные грузы,1404.552253132535
2028-10-01,Лесные грузы,1428.3798292433423
2028-11-01,Лесные грузы,1334.134381309874
2028-12-01,Лесные грузы,1497.1147560655477
2029-01-01,Лесные грузы,1377.4526648061774
2029-02-01,Лесные грузы,1414.0197129232126
2029-03-01,Лесные грузы,1720.3004927998804
2029-04-01,Лесные грузы,1589.0926000856214
2029-05-01,Лесные грузы,1497.862628205581
2029-06-01,Лесные грузы,1401.8419162758928
2029-07-01,Лесные грузы,1407.4035379003076
2029-08-01,Лесные грузы,1391.5228974555916
2029-09-01,Лесные грузы,1317.63733165337
2029-10-01,Лесные грузы,1345.2080660325848
2029-11-01,Лесные грузы,1254.4749650706162
2029-12-01,Лесные грузы,1404.736014900809
2030-01-01,Лесные грузы,1273.6075007217203
2030-02-01,Лесные грузы,1310.4070836045432
2030-03-01,Лесные грузы,1610.7305274912042
2030-04-01,Лесные грузы,1456.0979471592927
2030-05-01,Лесные грузы,1409.6569363141964
2030-06-01,Лесные грузы,1301.8144653876707
2030-07-01,Лесные грузы,1311.0106480433883
2030-08-01,Лесные грузы,1290.7286417409423
2030-09-01,Лесные грузы,1227.094625004345
2030-10-01,Лесные грузы,1244.0461714511753
2030-11-01,Лесные грузы,1162.1733672503121
2030-12-01,Лесные грузы,1301.9185801929398
2031-01-01,Лесные грузы,1188.017674297472
2031-02-01,Лесные грузы,1214.7379221211095
2031-03-01,Лесные грузы,1490.4358327421387
2031-04-01,Лесные грузы,1348.490423622264
2031-05-01,Лесные грузы,1302.2370509732998
2031-06-01,Лесные грузы,1200.6128818218829
2031-07-01,Лесные грузы,1204.8940697128858
2031-08-01,Лесные грузы,1185.968680195719
2031-09-01,Лесные грузы,1131.5252346692982
2031-10-01,Лесные грузы,1143.606789331378
2031-11-01,Лесные грузы,1065.5839665996348
2031-12-01,Лесные грузы,1189.1896281092809
2032-01-01,Лесные грузы,1071.7981293169782
2032-02-01,Лесные грузы,1101.4989990438196
2032-03-01,Лесные грузы,1362.3353961726966
2032-04-01,Лесные грузы,1227.9904051223132
2032-05-01,Лесные грузы,1188.0516514851986
2032-06-01,Лесные грузы,1086.9241890552496
2032-07-01,Лесные грузы,1101.530502831794
2032-08-01,Лесные грузы,1080.7688336001904
2032-09-01,Лесные грузы,1023.1943164519155
2032-10-01,Лесные грузы,1036.849297089762
2032-11-01,Лесные грузы,974.3574533739707
2032-12-01,Лесные грузы,1075.8959289276322
2033-01-01,Лесные грузы,960.1654972256539
2033-02-01,Лесные грузы,973.7685688589804
2033-03-01,Лесные грузы,1235.126716811726
2033-04-01,Лесные грузы,1102.6878824337607
2033-05-01,Лесные грузы,1060.730205546451
2033-06-01,Лесные грузы,975.1332938322321
2033-07-01,Лесные грузы,980.0325063302089
2033-08-01,Лесные грузы,961.5448777121954
2033-09-01,Лесные грузы,907.2039930561982
2033-10-01,Лесные грузы,930.2096331091719
2033-11-01,Лесные грузы,857.3141196856426
2033-12-01,Лесные грузы,965.0667265093857
2034-01-01,Лесные грузы,859.1601594523295
2034-02-01,Лесные грузы,882.1991572954128
2034-03-01,Лесные грузы,1094.53296063755
2034-04-01,Лесные грузы,969.9486489797146
2034-05-01,Лесные грузы,934.5248421290004
2034-06-01,Лесные грузы,877.1334665357964
2034-07-01,Лесные грузы,885.8968562732672
2034-08-01,Лесные грузы,876.6075981201391
2034-09-01,Лесные грузы,831.1004078265973
2034-10-01,Лесные грузы,837.9405049867145
2034-11-01,Лесные грузы,785.0783032083159
2034-12-01,Лесные грузы,875.9611400187417
2035-01-01,Лесные грузы,805.4925085187889
2035-02-01,Лесные грузы,848.9442864656216
2035-03-01,Лесные грузы,1022.4227988763907
2035-04-01,Лесные грузы,933.2584935759332
2035-05-01,Лесные грузы,899.7556906433341
2035-06-01,Лесные грузы,850.4662742506351
