cargo,split,model,RMSE,MAE,MAPE,status
Кокс каменноугольный,1,GradBoost,74.09943239967794,65.89732388804613,7.123887984302398,ok
Кокс каменноугольный,1,RandomForest,74.52785125031669,61.40674518054684,6.737827449729022,ok
Кокс каменноугольный,1,Ridge,94.55540930565142,79.52991175051663,8.627287342436578,ok
Кокс каменноугольный,1,SARIMA,108.56383639556284,101.07115585477924,10.85088992431842,ok
Кокс каменноугольный,1,ETS,97.71980964357621,87.08629894058475,9.403337495494794,ok
Кокс каменноугольный,2,GradBoost,44.760534751307134,38.225478058186006,4.11834007749366,ok
Кокс каменноугольный,2,RandomForest,46.76851833729207,38.78075992837105,4.171150472220344,ok
Кокс каменноугольный,2,Ridge,78.19427329937972,65.09784445015323,7.038284807642982,ok
Кокс каменноугольный,2,SARIMA,139.12548136815232,127.28544961867601,13.810045896485997,ok
Кокс каменноугольный,2,ETS,118.57897049048775,108.35638436465631,11.750243284658106,ok
Кокс каменноугольный,3,GradBoost,47.01352148907806,35.21290267080129,3.967187963129637,ok
Кокс каменноугольный,3,RandomForest,64.09591754415773,51.52036642834697,5.7713067719030295,ok
Кокс каменноугольный,3,Ridge,71.62756612664622,59.44747157642822,6.628528220679956,ok
Кокс каменноугольный,3,SARIMA,76.85231340743502,59.03659976670145,6.589500724597495,ok
Кокс каменноугольный,3,ETS,152.55226315718087,140.2346358912399,15.631775557622706,ok
Кокс каменноугольный,4,GradBoost,122.9684926114698,106.68776428715022,11.685484625894391,ok
Кокс каменноугольный,4,RandomForest,117.02951891750325,101.20906249140727,11.092623769160122,ok
Кокс каменноугольный,4,Ridge,105.43750932645403,88.49372264130692,9.717968483798833,ok
Кокс каменноугольный,4,SARIMA,99.41713814843641,76.99140100984953,8.093958102858402,ok
Кокс каменноугольный,4,ETS,123.24038338980377,99.90148483667436,11.56155366698587,ok
Кокс каменноугольный,5,GradBoost,73.87046880922534,61.445114568331356,6.364241897505223,ok
Кокс каменноугольный,5,RandomForest,100.92266353093513,89.95682160929402,9.070967234523602,ok
Кокс каменноугольный,5,Ridge,84.20165415339444,74.6566830436356,7.582424249993417,ok
Кокс каменноугольный,5,SARIMA,171.9110213697197,166.1582553607318,16.93831666636613,ok
Кокс каменноугольный,5,ETS,148.45931249682587,144.1963543766829,14.729492631949057,ok
Нефтяные грузы,1,GradBoost,1196.2557923240558,966.9397517605474,4.91470081052498,ok
Нефтяные грузы,1,RandomForest,1268.2317696934665,1021.7057206837484,5.208373267676495,ok
Нефтяные грузы,1,Ridge,832.7811924285014,666.8695363120759,3.3857744978475623,ok
Нефтяные грузы,1,SARIMA,1926.7419352880418,1642.4946434722058,8.356768844695104,ok
Нефтяные грузы,1,ETS,1817.0835136798185,1567.098682327541,7.9764346192705045,ok
Нефтяные грузы,2,GradBoost,532.2348173560848,455.81995794656933,2.3203324597539035,ok
Нефтяные грузы,2,RandomForest,587.2030934192129,498.4854961360056,2.5162736931415104,ok
Нефтяные грузы,2,Ridge,1802.9266965196225,1478.6857389539182,7.509154581675824,ok
